9092,nan,nan
9092,-0.29,29.37
9092,-0.26,29.38
9092,nan,nan
9092,-0.28,29.41
9092,nan,nan
9092,-0.26,29.44
9092,-0.23,29.44
9092,-0.21,29.44
9092,nan,nan
9092,-0.23,29.46
9092,nan,nan
9092,-0.24,29.46
9092,-0.22,29.47
9092,nan,nan
9092,-0.22,29.51
9092,-0.21,29.49
9092,-0.19,29.47
9092,nan,nan
9092,-0.21,29.49
9092,nan,nan
9092,-0.22,29.50
9092,nan,nan
9092,-0.24,29.51
9092,-0.23,29.48
9092,nan,nan
9092,nan,nan
9092,-0.22,29.65
9092,-0.21,29.59
9092,-0.21,29.55
9092,-0.20,29.53
9092,-0.20,29.51
9092,-0.19,29.50
9092,-0.17,29.49
9092,-0.17,29.47
9092,-0.18,29.48
9092,-0.18,29.45
9092,nan,nan
9092,-0.21,29.47
9092,nan,nan
9092,-0.23,29.50
9092,-0.20,29.49
9092,-0.18,29.47
9092,nan,nan
9092,nan,nan
9092,-0.18,29.62
9092,-0.17,29.57
9092,-0.17,29.55
9092,nan,nan
9092,-0.19,29.55
9092,-0.18,29.52
9092,-0.18,29.49
9092,-0.18,29.48
9092,-0.19,29.48
9092,-0.17,29.47
9092,nan,nan
9092,-0.18,29.48
9092,nan,nan
9092,nan,nan
9092,-0.20,29.64
9092,nan,nan
9092,nan,nan
9092,-0.19,29.72
9092,nan,nan
9092,-0.21,29.68
9092,-0.19,29.61
9092,-0.17,29.55
9092,-0.16,29.50
9092,nan,nan
9092,-0.18,29.49
9092,-0.16,29.47
9092,nan,nan
9092,-0.18,29.47
9092,-0.18,29.47
9092,nan,nan
9092,-0.21,29.47
9092,-0.19,29.46
9092,nan,nan
9092,-0.21,29.49
9092,-0.18,29.45
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-0.08,29.50
9092,nan,nan
9092,nan,nan
9092,-0.09,29.67
9092,-0.10,29.58
9092,nan,nan
9092,nan,nan
9092,-0.12,29.74
9092,nan,nan
9092,-0.12,29.78
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-0.13,29.86
9092,nan,nan
9092,-0.14,29.83
9092,-0.12,29.73
9092,nan,nan
9092,nan,nan
9092,-0.04,29.73
9092,nan,nan
9092,nan,nan
9092,-0.08,29.67
9092,-0.29,29.82
9092,-0.47,29.98
9092,-0.72,29.21
9092,-0.80,29.50
9092,-1.83,29.69
9092,-1.40,29.58
9092,-1.51,28.68
9092,nan,nan
9092,nan,nan
9092,-2.13,28.35
9092,nan,nan
9092,-1.63,28.62
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-1.25,28.51
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-4.48,26.45
9092,nan,nan
9092,-5.78,25.42
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-4.36,25.61
9092,nan,nan
9092,nan,nan
9092,-3.30,25.65
9092,-2.46,25.76
9092,-1.84,25.79
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-1.39,25.63
9092,-1.02,25.56
9092,-0.77,25.35
9092,-0.57,25.22
9092,-0.38,25.19
9092,-0.24,25.18
9092,nan,nan
9092,-0.18,24.97
9092,-0.12,24.76
9092,-0.08,24.59
9092,-0.07,24.41
9092,-0.03,24.28
9092,0.03,24.20
9092,0.05,24.02
9092,0.06,23.86
9092,0.07,23.74
9092,0.09,23.62
9092,0.10,23.52
9092,0.09,23.41
9092,0.08,23.29
9092,0.07,23.15
9092,0.06,23.02
9092,0.06,22.89
9092,0.04,22.71
9092,0.02,22.57
9092,0.05,22.50
9092,0.04,22.40
9092,0.05,22.31
9092,0.03,22.16
9092,0.05,22.11
9092,0.06,22.04
9092,0.07,21.94
9092,0.08,21.87
9092,0.07,21.76
9092,0.07,21.64
9092,0.10,21.56
9092,0.15,21.42
9092,0.17,21.23
9092,0.17,21.16
9092,0.19,21.04
9092,0.18,20.96
9092,0.16,20.86
9092,0.13,20.75
9092,0.16,20.68
9092,0.18,20.61
9092,0.21,20.54
9092,0.18,20.40
9092,0.16,20.27
9092,0.22,20.20
9092,0.17,20.00
9092,0.17,19.87
9092,0.15,19.76
9092,0.18,19.66
9092,0.15,19.52
9092,0.14,19.42
9092,0.12,19.27
9092,0.10,19.20
9092,0.11,19.06
9092,nan,nan
9092,0.14,18.90
9092,0.17,18.80
9092,0.18,18.66
9092,nan,nan
9092,0.18,18.50
9092,0.18,18.37
9092,0.16,18.24
9092,nan,nan
9092,nan,nan
9092,0.14,18.05
9092,0.12,17.89
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,0.03,17.51
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,-0.03,16.66
9092,nan,nan
9092,-0.08,15.97
9092,nan,nan
9092,-0.11,15.43
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
9092,nan,nan
