C9B0,-6.40,3.10,0.003992557525634766
9092,6.86,2.53,0.008912324905395508
92AB,5.47,7.90,0.010912656784057617
C684,0.33,11.81,0.01191401481628418
C9B0,-6.38,3.19,0.013912677764892578
9092,6.86,2.62,0.01591181755065918
92AB,5.50,7.90,0.017913103103637695
C684,0.42,11.87,0.019910335540771484
C9B0,-6.38,3.24,0.021355152130126953
9092,6.86,2.71,0.022799968719482422
92AB,5.49,7.94,0.0238034725189209
C684,0.50,11.90,0.025802135467529297
C9B0,-6.38,3.29,0.02780008316040039
9092,6.87,2.80,0.02980184555053711
92AB,5.48,7.95,0.030803918838500977
C684,0.54,11.92,0.032802581787109375
C9B0,-6.37,3.35,0.03882646560668945
9092,6.83,2.87,0.04009270668029785
92AB,5.48,7.96,0.041634321212768555
C684,0.56,11.92,0.042634010314941406
C70B,-5.53,9.30,0.043633460998535156
C9B0,-6.39,3.37,0.04463338851928711
9092,6.81,2.90,0.04663443565368652
92AB,5.47,7.97,0.0486607551574707
C684,0.58,11.92,0.05063438415527344
C70B,-5.47,9.34,0.05266165733337402
C9B0,-6.38,3.40,0.0536649227142334
9092,6.81,2.92,0.0556337833404541
92AB,5.47,7.99,0.05663251876831055
C684,0.61,11.92,0.05866074562072754
C70B,-5.43,9.35,0.059636592864990234
C9B0,-6.38,3.43,0.060631752014160156
9092,6.79,2.90,0.06288504600524902
92AB,5.46,8.00,0.06384706497192383
C684,0.64,11.93,0.06584310531616211
C70B,-5.39,9.35,0.0668630599975586
C9B0,-6.37,3.44,0.06884551048278809
9092,6.78,2.87,0.06984353065490723
C684,0.63,11.88,0.07219958305358887
C70B,-5.34,9.34,0.07421016693115234
C9B0,-6.37,3.47,0.07520842552185059
9092,6.78,2.86,0.0772092342376709
C684,0.63,11.87,0.0792088508605957
C70B,-5.28,9.31,0.0812077522277832
C9B0,-6.43,3.51,0.08221220970153809
9092,6.77,2.82,0.08521318435668945
C684,0.63,11.90,0.08721208572387695
C70B,-5.23,9.30,0.0882117748260498
C9B0,-6.49,3.36,0.0902097225189209
9092,6.78,2.78,0.09223508834838867
92AB,5.44,7.89,0.0936133861541748
C684,0.65,11.93,0.09512758255004883
C9B0,-6.47,3.60,0.09609198570251465
9092,6.77,2.69,0.09809303283691406
92AB,5.44,7.92,0.09909248352050781
C684,0.67,11.94,0.10110259056091309
C70B,-5.04,9.22,0.10309314727783203
C9B0,-6.48,3.78,0.10409426689147949
92AB,5.44,7.96,0.10712671279907227
C684,0.67,11.95,0.10809135437011719
C70B,-4.95,9.24,0.1100921630859375
C9B0,-6.46,3.92,0.11153054237365723
9092,6.79,2.59,0.11312723159790039
92AB,5.44,7.99,0.11344194412231445
C70B,-4.79,9.17,1.713979721069336
C9B0,-5.07,5.09,1.7179837226867676
9092,6.82,2.94,1.7209811210632324
92AB,5.22,8.19,1.724665641784668
C684,0.54,11.61,1.7276675701141357
C70B,-4.79,9.17,1.8150019645690918
C9B0,-5.06,5.10,1.818023443222046
9092,6.76,3.09,1.8210182189941406
92AB,5.19,8.16,1.8240180015563965
C684,0.54,11.61,1.828014850616455
C70B,-4.78,9.18,1.9141016006469727
C9B0,-5.05,5.11,1.9181065559387207
9092,6.69,3.23,1.9210987091064453
92AB,5.21,8.13,1.9240498542785645
C684,0.54,11.61,1.928048849105835
C70B,-4.77,9.18,2.0142364501953125
C9B0,-5.03,5.12,2.0197460651397705
9092,6.63,3.33,2.024683713912964
92AB,5.23,8.13,2.028749704360962
C684,0.55,11.61,2.0327465534210205
C70B,-4.79,9.18,2.115546464920044
C9B0,-5.02,5.13,2.1234781742095947
9092,6.55,3.44,2.130549907684326
92AB,5.28,8.08,2.1375341415405273
C684,0.55,11.61,2.141479969024658
C70B,-4.78,9.18,2.214940309524536
C9B0,-5.00,5.11,2.2189996242523193
9092,6.49,3.51,2.2229397296905518
92AB,5.30,8.06,2.225935459136963
C70B,-4.79,9.18,2.3161518573760986
C9B0,-4.99,5.09,2.324141502380371
9092,6.45,3.52,2.333158016204834
92AB,5.26,8.06,2.340165615081787
