C684,-0.20,29.50
C684,-0.18,29.56
C684,-0.17,29.63
C684,-0.18,29.71
C684,-0.14,29.80
C684,-0.06,29.85
C684,-0.05,29.95
C684,-0.04,29.99
C684,-0.07,30.00
C684,-0.01,29.99
C684,0.02,29.98
C684,0.03,30.01
C684,0.02,30.02
C684,-0.00,30.02
C684,-0.01,30.03
C684,-0.04,30.04
C684,-0.04,30.04
C684,0.02,30.02
C684,0.01,30.03
C684,0.02,30.02
C684,0.03,30.11
C684,0.03,30.09
C684,0.03,30.08
C684,0.04,30.05
C684,0.05,30.05
C684,0.04,30.08
C684,0.04,30.10
C684,0.04,30.11
C684,0.06,30.13
C684,0.06,30.14
C684,0.07,30.14
C684,0.08,30.15
C684,0.08,30.14
C684,0.07,30.15
C684,0.08,30.14
C684,0.07,30.13
C684,0.07,30.11
C684,0.07,30.11
C684,0.06,30.09
C684,0.06,30.08
C684,0.06,30.08
C684,0.06,30.08
C684,0.06,30.08
C684,0.06,30.08
C684,0.06,30.08
C684,0.04,30.10
C684,0.05,30.09
C684,0.05,30.09
C684,0.07,30.13
C684,0.07,30.11
C684,0.06,30.09
C684,0.06,30.07
C684,0.05,30.05
C684,-0.01,30.04
C684,-0.03,30.06
C684,-0.05,30.05
C684,-0.05,30.05
C684,-0.03,30.05
C684,-0.03,30.05
C684,-0.03,30.04
C684,-0.03,30.03
C684,0.01,29.99
C684,0.02,30.00
C684,0.01,30.01
C684,-0.00,30.01
C684,-0.02,30.00
C684,-0.02,30.00
C684,0.01,29.99
C684,-0.05,29.99
C684,-0.04,30.03
C684,-0.01,30.00
C684,-0.03,29.99
C684,-0.01,29.98
C684,-0.03,29.96
C684,-0.02,29.94
C684,-0.01,29.95
C684,-0.01,29.92
C684,-0.04,29.82
C684,-0.01,29.64
C684,-0.06,29.48
C684,-0.08,29.32
C684,-0.06,29.14
C684,-0.03,29.02
C684,-0.01,28.92
C684,-0.02,28.86
C684,-0.02,28.87
C684,-0.02,28.86
C684,0.00,28.70
C684,0.02,28.50
C684,-0.05,28.25
C684,0.02,27.98
C684,0.02,27.63
C684,-0.07,27.46
C684,-0.08,27.38
C684,-0.09,27.33
C684,-0.05,27.26
C684,-0.04,27.27
C684,-0.05,27.16
C684,-0.10,26.98
C684,-0.02,26.73
C684,-0.06,26.49
C684,-0.04,26.23
C684,0.03,26.06
C684,0.06,25.92
C684,0.00,25.80
C684,0.04,25.74
C684,0.00,25.67
