9092,-4.09,8.75
9092,-3.99,8.82
9092,-3.92,8.82
9092,-3.80,8.83
9092,-3.72,8.90
9092,-3.63,8.96
9092,-3.53,8.99
9092,-3.45,9.04
9092,-3.35,9.09
9092,-3.21,9.18
9092,-3.08,9.26
9092,-2.96,9.34
9092,-2.82,9.50
9092,-2.69,9.60
9092,-2.60,9.60
9092,-2.10,9.87
9092,-1.99,9.92
9092,-1.87,10.00
9092,-1.50,10.08
9092,-1.27,10.12
9092,-1.12,10.19
9092,-0.84,10.17
9092,-0.67,10.15
9092,-0.33,10.20
9092,-0.04,10.29
9092,0.15,10.29
9092,0.32,10.27
9092,0.37,10.26
9092,0.55,9.94
9092,0.63,9.99
9092,0.72,10.05
C684,nan,nan
9092,0.82,10.06
C684,nan,nan
9092,0.91,10.08
C684,nan,nan
9092,1.01,10.06
C684,-1.64,9.12
9092,1.05,10.02
C684,nan,nan
9092,1.16,10.02
C684,nan,nan
9092,1.28,9.99
C684,nan,nan
9092,1.38,9.96
C684,nan,nan
C684,nan,nan
9092,1.57,9.92
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,-0.14,8.54
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,3.49,6.37
C684,nan,nan
C684,nan,nan
C684,4.67,5.52
C684,5.14,5.11
C684,5.88,4.19
C684,5.97,4.04
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,4.03,1.21
C684,nan,nan
C684,3.95,0.45
C684,4.21,0.59
C684,4.41,0.67
C684,4.62,0.78
C684,4.74,0.86
C684,5.20,1.11
C684,5.32,1.19
C684,5.38,1.24
C684,5.69,1.41
C684,5.89,1.54
C684,6.06,1.63
C684,6.13,1.72
C684,6.15,1.76
C684,6.15,1.80
C684,5.84,1.67
C684,5.62,1.58
C684,5.36,1.45
C684,5.20,1.43
C684,5.18,1.56
C684,5.28,1.63
C684,5.34,1.67
C684,5.36,1.71
C684,5.34,1.74
C684,5.26,1.79
C684,4.95,1.72
C684,4.65,1.60
C684,nan,nan
C684,4.59,1.77
C684,4.60,1.82
C684,nan,nan
C684,4.28,1.71
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,3.84,1.60
C684,nan,nan
C684,3.44,1.48
C684,nan,nan
C684,3.10,1.40
C684,3.00,1.54
C684,2.91,1.65
C684,2.67,1.54
C684,2.48,1.48
C684,2.29,1.40
C684,2.29,1.54
C684,2.06,1.44
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,1.76,1.38
C684,nan,nan
C684,1.50,1.35
C684,nan,nan
C684,nan,nan
C684,1.53,1.47
C684,nan,nan
C684,1.17,1.37
C684,1.14,1.59
C684,nan,nan
C684,1.17,1.73
C684,nan,nan
C684,1.12,1.77
C684,0.96,1.89
C684,0.83,1.97
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,-2.96,1.43
C684,nan,nan
C684,-5.51,1.36
C684,nan,nan
C684,-8.15,1.34
C684,-6.33,1.55
C684,-5.01,1.69
C684,-4.04,1.81
C684,-3.34,1.88
C684,-2.84,1.93
C684,-2.49,1.96
C684,-2.24,2.00
C684,-2.08,2.03
C684,-1.99,2.05
C684,-1.95,2.10
C684,-2.00,2.14
C684,-2.06,2.14
C684,-2.11,2.14
C684,-2.19,2.15
C684,-2.27,2.16
C684,-2.37,2.15
C684,-2.48,2.15
C684,-2.59,2.15
C684,-2.71,2.17
C684,-2.81,2.20
C684,-2.91,2.22
C684,-3.02,2.23
C684,-3.11,2.26
C684,-3.20,2.27
C684,-3.31,2.26
C684,-3.43,2.22
C684,nan,nan
C684,-3.59,2.08
C684,-3.75,2.07
C684,-3.91,1.95
C684,-4.05,1.87
C684,-4.20,1.89
C684,-4.31,1.92
C684,nan,nan
C684,nan,nan
C684,-4.48,1.95
C684,-4.59,2.00
C684,nan,nan
C684,-4.75,1.97
C684,nan,nan
C684,-4.88,2.02
C684,-4.99,2.04
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,-5.40,3.19
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,nan,nan
C684,-5.74,2.85
C684,-6.06,2.57
C684,-6.25,2.42
C684,-6.38,3.29
C684,-6.48,2.99
C684,nan,nan
9092,nan,nan
C684,-6.57,2.71
